ano,id_municipio,grupo_idade,sexo,cor_raca,populacao
2022,3170206,0 a 4 anos,Homens,Parda,8554
2022,3170206,0 a 4 anos,Homens,Preta,1519
2022,3170206,5 a 9 anos,Homens,Branca,10831
2022,3170206,5 a 9 anos,Homens,Preta,1917
2022,3170206,10 a 14 anos,Homens,Amarela,55
2022,3170206,20 a 24 anos,Homens,Amarela,52
2022,3170206,25 a 29 anos,Homens,Branca,12834
2022,3170206,30 a 34 anos,Mulheres,Indígena,28
2022,3170206,30 a 34 anos,Homens,Branca,12874
2022,3170206,30 a 34 anos,Mulheres,Amarela,78
2022,3170206,30 a 34 anos,Homens,Amarela,80
2022,3170206,30 a 34 anos,Homens,Parda,12384
2022,3170206,40 a 44 anos,Homens,Amarela,85
2022,3170206,40 a 44 anos,Homens,Parda,11396
2022,3170206,40 a 44 anos,Mulheres,Branca,15015
2022,3170206,40 a 44 anos,Mulheres,Parda,11727
2022,3170206,45 a 49 anos,Mulheres,Parda,9952
2022,3170206,55 a 59 anos,Mulheres,Indígena,20
2022,3170206,55 a 59 anos,Mulheres,Branca,12057
2022,3170206,55 a 59 anos,Mulheres,Preta,2337
2022,3170206,60 a 64 anos,Mulheres,Amarela,53
2022,3170206,60 a 64 anos,Homens,Branca,8565
2022,3170206,60 a 64 anos,Mulheres,Preta,2003
2022,3170206,65 a 69 anos,Mulheres,Preta,1536
2022,3170206,65 a 69 anos,Homens,Branca,6660
2022,3170206,65 a 69 anos,Mulheres,Branca,8602
2022,3170206,65 a 69 anos,Homens,Preta,1205
2022,3170206,70 a 74 anos,Mulheres,Branca,6427
2022,3170206,75 a 79 anos,Mulheres,Branca,4423
2022,3170206,75 a 79 anos,Mulheres,Preta,606
2022,3170206,80 a 84 anos,Mulheres,Branca,3164
2022,3170206,80 a 84 anos,Homens,Branca,1910
2022,3170206,85 a 89 anos,Mulheres,Branca,1862
2022,3170206,85 a 89 anos,Homens,Branca,954
2022,3170206,90 a 94 anos,Homens,Amarela,
2022,3170206,90 a 94 anos,Homens,Indígena,
2022,3170206,90 a 94 anos,Homens,Preta,50
2022,3170206,95 a 99 anos,Homens,Amarela,
2022,3170206,100 anos ou mais,Mulheres,Amarela,1
2022,3170206,100 anos ou mais,Homens,Preta,4
2022,3170206,100 anos ou mais,Mulheres,Parda,8
2022,3170206,0 a 4 anos,Homens,Branca,10909
2022,3170206,5 a 9 anos,Mulheres,Indígena,18
2022,3170206,5 a 9 anos,Homens,Amarela,40
2022,3170206,5 a 9 anos,Mulheres,Parda,9922
2022,3170206,10 a 14 anos,Mulheres,Branca,9792
2022,3170206,10 a 14 anos,Mulheres,Preta,1901
2022,3170206,10 a 14 anos,Mulheres,Parda,9615
2022,3170206,15 a 19 anos,Homens,Indígena,12
2022,3170206,15 a 19 anos,Homens,Amarela,46
2022,3170206,15 a 19 anos,Homens,Preta,2866
2022,3170206,15 a 19 anos,Mulheres,Preta,2438
2022,3170206,15 a 19 anos,Homens,Parda,10441
2022,3170206,15 a 19 anos,Mulheres,Branca,10718
2022,3170206,20 a 24 anos,Homens,Parda,12296
2022,3170206,20 a 24 anos,Mulheres,Amarela,71
2022,3170206,25 a 29 anos,Homens,Preta,4142
2022,3170206,30 a 34 anos,Homens,Preta,3863
2022,3170206,35 a 39 anos,Mulheres,Branca,14507
2022,3170206,35 a 39 anos,Homens,Preta,3789
2022,3170206,40 a 44 anos,Homens,Preta,3768
2022,3170206,45 a 49 anos,Homens,Indígena,15
2022,3170206,45 a 49 anos,Mulheres,Amarela,85
2022,3170206,45 a 49 anos,Homens,Preta,2905
2022,3170206,50 a 54 anos,Mulheres,Indígena,28
2022,3170206,50 a 54 anos,Mulheres,Branca,12352
2022,3170206,50 a 54 anos,Homens,Parda,8013
2022,3170206,50 a 54 anos,Mulheres,Preta,2465
2022,3170206,60 a 64 anos,Mulheres,Parda,6513
2022,3170206,70 a 74 anos,Homens,Preta,815
2022,3170206,70 a 74 anos,Homens,Branca,4861
2022,3170206,75 a 79 anos,Homens,Parda,1555
2022,3170206,75 a 79 anos,Homens,Branca,3125
2022,3170206,75 a 79 anos,Mulheres,Parda,1971
2022,3170206,75 a 79 anos,Homens,Preta,472
2022,3170206,80 a 84 anos,Homens,Amarela,21
2022,3170206,80 a 84 anos,Homens,Preta,289
2022,3170206,80 a 84 anos,Mulheres,Preta,386
2022,3170206,80 a 84 anos,Mulheres,Parda,1264
2022,3170206,85 a 89 anos,Mulheres,Indígena,1
2022,3170206,85 a 89 anos,Homens,Preta,130
2022,3170206,90 a 94 anos,Mulheres,Amarela,5
2022,3170206,90 a 94 anos,Homens,Branca,403
2022,3170206,95 a 99 anos,Homens,Preta,14
2022,3170206,100 anos ou mais,Mulheres,Preta,12
2022,3170206,0 a 4 anos,Mulheres,Indígena,12
2022,3170206,5 a 9 anos,Homens,Indígena,16
2022,3170206,5 a 9 anos,Mulheres,Branca,10476
2022,3170206,10 a 14 anos,Homens,Indígena,14
2022,3170206,10 a 14 anos,Mulheres,Indígena,22
2022,3170206,10 a 14 anos,Mulheres,Amarela,45
2022,3170206,10 a 14 anos,Homens,Preta,2035
2022,3170206,20 a 24 anos,Homens,Indígena,27
2022,3170206,20 a 24 anos,Mulheres,Preta,3387
2022,3170206,20 a 24 anos,Mulheres,Branca,12897
2022,3170206,25 a 29 anos,Mulheres,Indígena,49
2022,3170206,25 a 29 anos,Homens,Parda,12864
2022,3170206,25 a 29 anos,Mulheres,Preta,3700
2022,3170206,30 a 34 anos,Homens,Indígena,25
2022,3170206,35 a 39 anos,Homens,Amarela,94
2022,3170206,35 a 39 anos,Homens,Parda,11970
2022,3170206,35 a 39 anos,Mulheres,Parda,11997
2022,3170206,40 a 44 anos,Homens,Indígena,29
2022,3170206,40 a 44 anos,Mulheres,Indígena,33
2022,3170206,40 a 44 anos,Homens,Branca,12662
2022,3170206,45 a 49 anos,Mulheres,Preta,2783
2022,3170206,50 a 54 anos,Homens,Indígena,20
2022,3170206,50 a 54 anos,Homens,Branca,10265
2022,3170206,50 a 54 anos,Homens,Preta,2493
2022,3170206,55 a 59 anos,Homens,Indígena,18
2022,3170206,55 a 59 anos,Homens,Parda,6699
2022,3170206,55 a 59 anos,Homens,Branca,9642
2022,3170206,60 a 64 anos,Homens,Amarela,49
2022,3170206,65 a 69 anos,Homens,Indígena,9
2022,3170206,65 a 69 anos,Mulheres,Indígena,16
2022,3170206,70 a 74 anos,Mulheres,Amarela,55
2022,3170206,70 a 74 anos,Homens,Parda,2739
2022,3170206,75 a 79 anos,Homens,Indígena,11
2022,3170206,75 a 79 anos,Mulheres,Amarela,31
2022,3170206,85 a 89 anos,Homens,Indígena,2
2022,3170206,85 a 89 anos,Mulheres,Amarela,14
2022,3170206,90 a 94 anos,Mulheres,Parda,263
2022,3170206,90 a 94 anos,Mulheres,Branca,856
2022,3170206,90 a 94 anos,Mulheres,Preta,99
2022,3170206,90 a 94 anos,Homens,Parda,158
2022,3170206,95 a 99 anos,Mulheres,Indígena,
2022,3170206,95 a 99 anos,Mulheres,Parda,75
2022,3170206,95 a 99 anos,Mulheres,Branca,254
2022,3170206,100 anos ou mais,Mulheres,Indígena,
2022,3170206,100 anos ou mais,Homens,Amarela,
2022,3170206,100 anos ou mais,Homens,Parda,11
2022,3170206,0 a 4 anos,Homens,Amarela,35
2022,3170206,0 a 4 anos,Mulheres,Preta,1512
2022,3170206,15 a 19 anos,Homens,Branca,10499
2022,3170206,15 a 19 anos,Mulheres,Indígena,22
2022,3170206,15 a 19 anos,Mulheres,Amarela,47
2022,3170206,15 a 19 anos,Mulheres,Parda,10316
2022,3170206,20 a 24 anos,Mulheres,Indígena,29
2022,3170206,20 a 24 anos,Homens,Branca,12626
2022,3170206,25 a 29 anos,Mulheres,Amarela,82
2022,3170206,25 a 29 anos,Mulheres,Parda,12966
2022,3170206,25 a 29 anos,Mulheres,Branca,13491
2022,3170206,30 a 34 anos,Mulheres,Preta,3470
2022,3170206,35 a 39 anos,Mulheres,Indígena,29
2022,3170206,35 a 39 anos,Mulheres,Amarela,103
2022,3170206,35 a 39 anos,Mulheres,Preta,3439
2022,3170206,40 a 44 anos,Mulheres,Preta,3347
2022,3170206,45 a 49 anos,Mulheres,Indígena,34
2022,3170206,45 a 49 anos,Homens,Amarela,74
2022,3170206,45 a 49 anos,Homens,Parda,9296
2022,3170206,45 a 49 anos,Mulheres,Branca,12706
2022,3170206,50 a 54 anos,Homens,Amarela,65
2022,3170206,55 a 59 anos,Mulheres,Amarela,58
2022,3170206,55 a 59 anos,Homens,Preta,2116
2022,3170206,55 a 59 anos,Mulheres,Parda,7750
2022,3170206,60 a 64 anos,Mulheres,Branca,10782
2022,3170206,65 a 69 anos,Mulheres,Amarela,39
2022,3170206,65 a 69 anos,Homens,Amarela,60
2022,3170206,65 a 69 anos,Mulheres,Parda,4805
2022,3170206,70 a 74 anos,Mulheres,Indígena,14
2022,3170206,70 a 74 anos,Homens,Amarela,47
2022,3170206,75 a 79 anos,Mulheres,Indígena,10
2022,3170206,75 a 79 anos,Homens,Amarela,24
2022,3170206,80 a 84 anos,Mulheres,Indígena,7
2022,3170206,85 a 89 anos,Mulheres,Preta,202
2022,3170206,95 a 99 anos,Homens,Indígena,
2022,3170206,95 a 99 anos,Mulheres,Preta,22
2022,3170206,95 a 99 anos,Homens,Branca,107
2022,3170206,100 anos ou mais,Homens,Indígena,
2022,3170206,100 anos ou mais,Homens,Branca,19
2022,3170206,0 a 4 anos,Mulheres,Branca,10498
2022,3170206,0 a 4 anos,Homens,Indígena,10
2022,3170206,0 a 4 anos,Mulheres,Amarela,34
2022,3170206,0 a 4 anos,Mulheres,Parda,8189
2022,3170206,5 a 9 anos,Mulheres,Amarela,44
2022,3170206,5 a 9 anos,Homens,Parda,10061
2022,3170206,5 a 9 anos,Mulheres,Preta,1912
2022,3170206,10 a 14 anos,Homens,Branca,10228
2022,3170206,10 a 14 anos,Homens,Parda,10236
2022,3170206,20 a 24 anos,Mulheres,Parda,12060
2022,3170206,20 a 24 anos,Homens,Preta,3757
2022,3170206,25 a 29 anos,Homens,Indígena,40
2022,3170206,25 a 29 anos,Homens,Amarela,76
2022,3170206,30 a 34 anos,Mulheres,Parda,12527
2022,3170206,30 a 34 anos,Mulheres,Branca,14065
2022,3170206,35 a 39 anos,Homens,Indígena,23
2022,3170206,35 a 39 anos,Homens,Branca,12703
2022,3170206,40 a 44 anos,Mulheres,Amarela,98
2022,3170206,45 a 49 anos,Homens,Branca,10735
2022,3170206,50 a 54 anos,Mulheres,Amarela,62
2022,3170206,50 a 54 anos,Mulheres,Parda,8418
2022,3170206,55 a 59 anos,Homens,Amarela,64
2022,3170206,60 a 64 anos,Homens,Indígena,15
2022,3170206,60 a 64 anos,Mulheres,Indígena,16
2022,3170206,60 a 64 anos,Homens,Preta,1568
2022,3170206,60 a 64 anos,Homens,Parda,5413
2022,3170206,65 a 69 anos,Homens,Parda,4058
2022,3170206,70 a 74 anos,Homens,Indígena,12
2022,3170206,70 a 74 anos,Mulheres,Parda,3270
2022,3170206,70 a 74 anos,Mulheres,Preta,1006
2022,3170206,80 a 84 anos,Homens,Indígena,3
2022,3170206,80 a 84 anos,Mulheres,Amarela,19
2022,3170206,80 a 84 anos,Homens,Parda,916
2022,3170206,85 a 89 anos,Homens,Amarela,8
2022,3170206,85 a 89 anos,Mulheres,Parda,660
2022,3170206,85 a 89 anos,Homens,Parda,441
2022,3170206,90 a 94 anos,Mulheres,Indígena,4
2022,3170206,95 a 99 anos,Mulheres,Amarela,1
2022,3170206,95 a 99 anos,Homens,Parda,39
2022,3170206,100 anos ou mais,Mulheres,Branca,44